part
MOFid-v1
ERROR
UNKNOWN
cat0
cat1
cat2
cat3
acs
bct
bcu
cpf
cpr
dia
fcu
fnu
fsc
fse
fsf
fsg
hcb
hex
hms
hxl
irl
jeb
lfm
mot
nbo
pcu
rna
rob
sit
sql
sqp
tbo
